bandwidth,runtype,ratio,MTBF
1.07031e+13,PropDaly,0.799306,3.1536e+08
7.1875e+12,FCFS1h,0.785611,3.1536e+08
8.3125e+12,FCFSDaly,0.802065,3.1536e+08
9.4375e+12,BlockingFCFS1h,0.799881,3.1536e+08
9.4375e+12,BlockingFCFSDaly,0.812134,3.1536e+08
8.3125e+12,Coop,0.803726,3.1536e+08
8.3125e+12,Prop1h,0.80113,3.1536e+08
7.1875e+12,PropDaly,0.797728,3.1536e+08
6.0625e+12,FCFS1h,0.773868,3.1536e+08
6.0625e+12,Prop1h,0.773246,3.1536e+08
6.0625e+12,Prop1h,0.789815,3.1536e+08
4.9375e+12,PropDaly,0.788626,3.1536e+08
7.1875e+12,Prop1h,0.798678,3.1536e+08
8.3125e+12,PropDaly,0.818909,3.1536e+08
8.3125e+12,Prop1h,0.802077,3.1536e+08
7.1875e+12,PropDaly,0.795158,3.1536e+08
8.3125e+12,Prop1h,0.787947,3.1536e+08
8.3125e+12,PropDaly,0.794424,3.1536e+08
9.4375e+12,Prop1h,0.798589,3.1536e+08
8.3125e+12,PropDaly,0.79692,3.1536e+08
9.4375e+12,Prop1h,0.813067,3.1536e+08
8.3125e+12,PropDaly,0.803213,3.1536e+08
9.4375e+12,Prop1h,0.811385,3.1536e+08
9.4375e+12,PropDaly,0.814504,3.1536e+08
7.1875e+12,Prop1h,0.794805,3.1536e+08
6.0625e+12,Prop1h,0.783425,3.1536e+08
4.9375e+12,PropDaly,0.781355,3.1536e+08
6.0625e+12,Prop1h,0.803249,3.1536e+08
4.9375e+12,PropDaly,0.78554,3.1536e+08
7.1875e+12,Prop1h,0.808253,3.1536e+08
6.0625e+12,PropDaly,0.807225,3.1536e+08
7.1875e+12,Prop1h,0.784019,3.1536e+08
7.1875e+12,PropDaly,0.802782,3.1536e+08
6.0625e+12,FCFS1h,0.801569,3.1536e+08
1.21094e+13,Prop1h,0.807483,3.1536e+08
9.4375e+12,Prop1h,0.802343,3.1536e+08
8.3125e+12,PropDaly,0.794039,3.1536e+08
9.4375e+12,Prop1h,0.800936,3.1536e+08
8.3125e+12,PropDaly,0.800664,3.1536e+08
7.1875e+12,FCFS1h,0.800731,3.1536e+08
9.4375e+12,Prop1h,0.80481,3.1536e+08
8.3125e+12,PropDaly,0.801613,3.1536e+08
7.1875e+12,Prop1h,0.804986,3.1536e+08
6.0625e+12,PropDaly,0.767074,3.1536e+08
7.1875e+12,FCFS1h,0.804482,3.1536e+08
9.4375e+12,Prop1h,0.793838,3.1536e+08
8.3125e+12,PropDaly,0.782983,3.1536e+08
8.3125e+12,FCFS1h,0.802104,3.1536e+08
7.1875e+12,Prop1h,0.791926,3.1536e+08
7.1875e+12,PropDaly,0.838764,3.1536e+08
6.0625e+12,FCFS1h,0.800127,3.1536e+08
7.1875e+12,Prop1h,0.800983,3.1536e+08
6.0625e+12,PropDaly,0.799674,3.1536e+08
4.9375e+12,FCFS1h,0.792511,3.1536e+08
4.9375e+12,FCFSDaly,0.804056,3.1536e+08
8.3125e+12,Prop1h,0.803506,3.1536e+08
7.1875e+12,PropDaly,0.803181,3.1536e+08
7.1875e+12,FCFS1h,0.808191,3.1536e+08
6.0625e+12,FCFSDaly,0.801231,3.1536e+08
8.3125e+12,Prop1h,0.807222,3.1536e+08
8.3125e+12,PropDaly,0.819619,3.1536e+08
7.1875e+12,FCFS1h,0.810198,3.1536e+08
8.3125e+12,Prop1h,0.805633,3.1536e+08
8.3125e+12,PropDaly,0.812587,3.1536e+08
8.3125e+12,Prop1h,0.802671,3.1536e+08
7.1875e+12,PropDaly,0.79647,3.1536e+08
9.4375e+12,Prop1h,0.798443,3.1536e+08
9.4375e+12,PropDaly,0.812349,3.1536e+08
8.3125e+12,FCFS1h,0.803543,3.1536e+08
8.3125e+12,Prop1h,0.800046,3.1536e+08
7.1875e+12,PropDaly,0.799991,3.1536e+08
7.1875e+12,FCFS1h,0.816038,3.1536e+08
8.3125e+12,Prop1h,0.79246,3.1536e+08
8.3125e+12,PropDaly,0.807879,3.1536e+08
7.1875e+12,FCFS1h,0.805091,3.1536e+08
4.9375e+12,Prop1h,0.814005,3.1536e+08
3.8125e+12,PropDaly,0.805961,3.1536e+08
7.1875e+12,Prop1h,0.811008,3.1536e+08
6.0625e+12,PropDaly,0.798136,3.1536e+08
4.9375e+12,FCFS1h,0.788556,3.1536e+08
9.4375e+12,Prop1h,0.799595,3.1536e+08
8.3125e+12,PropDaly,0.794313,3.1536e+08
8.3125e+12,FCFS1h,0.81117,3.1536e+08
7.1875e+12,FCFSDaly,0.803571,3.1536e+08
8.3125e+12,Prop1h,0.824353,3.1536e+08
6.0625e+12,PropDaly,0.779557,3.1536e+08
6.0625e+12,FCFS1h,0.794058,3.1536e+08
8.3125e+12,Prop1h,0.796613,3.1536e+08
7.1875e+12,PropDaly,0.806873,3.1536e+08
6.0625e+12,FCFS1h,0.795273,3.1536e+08
1.07031e+13,Prop1h,0.805453,3.1536e+08
9.4375e+12,PropDaly,0.847356,3.1536e+08
6.0625e+12,Prop1h,0.810917,3.1536e+08
4.9375e+12,PropDaly,0.800456,3.1536e+08
4.9375e+12,FCFS1h,0.800948,3.1536e+08
8.3125e+12,Prop1h,0.800872,3.1536e+08
8.3125e+12,PropDaly,0.814362,3.1536e+08
8.3125e+12,FCFS1h,0.804257,3.1536e+08
1.21094e+13,Prop1h,0.812251,3.1536e+08
1.07031e+13,PropDaly,0.821396,3.1536e+08
8.3125e+12,Prop1h,0.791558,3.1536e+08
8.3125e+12,PropDaly,0.811697,3.1536e+08
7.1875e+12,FCFS1h,0.806891,3.1536e+08
7.1875e+12,Prop1h,0.796699,3.1536e+08
6.0625e+12,PropDaly,0.805555,3.1536e+08
6.0625e+12,FCFS1h,0.79156,3.1536e+08
8.3125e+12,Prop1h,0.792618,3.1536e+08
7.1875e+12,PropDaly,0.802157,3.1536e+08
7.1875e+12,FCFS1h,0.80137,3.1536e+08
8.3125e+12,Prop1h,0.806773,3.1536e+08
7.1875e+12,PropDaly,0.807737,3.1536e+08
6.0625e+12,FCFS1h,0.80264,3.1536e+08
4.9375e+12,FCFSDaly,0.79177,3.1536e+08
1.35156e+13,Prop1h,0.795617,3.1536e+08
1.35156e+13,PropDaly,0.797858,3.1536e+08
7.1875e+12,Prop1h,0.81014,3.1536e+08
