4e+10	1	0.338214
4e+10	2	0.227357
4e+10	4	0.154931
4e+10	8	0.109622
4e+10	16	0.080083
4e+10	24	0.0674591
5e+10	1	0.297129
5e+10	2	0.200665
5e+10	4	0.137925
5e+10	8	0.0987964
5e+10	16	0.0727876
5e+10	24	0.0616203
6e+10	1	0.267616
6e+10	2	0.181369
6e+10	4	0.125918
6e+10	8	0.0909379
6e+10	16	0.0674591
6e+10	24	0.0573469
7e+10	1	0.245157
7e+10	2	0.166611
7e+10	4	0.116825
7e+10	8	0.084903
7e+10	16	0.0633505
7e+10	24	0.054047
8e+10	1	0.227357
8e+10	2	0.154931
8e+10	4	0.109622
8e+10	8	0.080083
8e+10	16	0.0600593
8e+10	24	0.0514004
9e+10	1	0.212818
9e+10	2	0.145597
9e+10	4	0.103731
9e+10	8	0.0761198
9e+10	16	0.0573469
9e+10	24	0.0492173
1.0e+11	1	0.200665
1.0e+11	2	0.137925
1.0e+11	4	0.0987964
1.0e+11	8	0.0727876
1.0e+11	16	0.0550621
1.0e+11	24	0.0473769
1.1e+11	1	0.190316
1.1e+11	2	0.131464
1.1e+11	4	0.0945857
1.1e+11	8	0.0699356
1.1e+11	16	0.0531035
1.1e+11	24	0.0457982
1.2e+11	1	0.181369
1.2e+11	2	0.125918
1.2e+11	4	0.0909379
1.2e+11	8	0.0674591
1.2e+11	16	0.0514004
1.2e+11	24	0.0444247
1.3e+11	1	0.173538
1.3e+11	2	0.121086
1.3e+11	4	0.0877386
1.3e+11	8	0.0652827
1.3e+11	16	0.049902
1.3e+11	24	0.0432157
1.4e+11	1	0.166611
1.4e+11	2	0.116825
1.4e+11	4	0.084903
1.4e+11	8	0.0633505
1.4e+11	16	0.0485704
1.4e+11	24	0.0421408
1.5e+11	1	0.160431
1.5e+11	2	0.113031
1.5e+11	4	0.0823675
1.5e+11	8	0.0616203
1.5e+11	16	0.0473769
1.5e+11	24	0.0411769
1.6e+11	1	0.154931
1.6e+11	2	0.109622
1.6e+11	4	0.080083
1.6e+11	8	0.0600593
1.6e+11	16	0.0462992
1.6e+11	24	0.0403063
