#node MTBF (y)	bw	nocoop-1h	nocoop-daly	bfifo-1h	bfifo-daly
2.1529680365296806	40000000000.0	1.3175448363412283	-	0.9393536339005876	-
4.305936073059361	40000000000.0	1.694451506787791	3.4008834323501205	1.7000242118396849	3.4156574224210816
8.611872146118722	40000000000.0	2.0104224862175752	2.8226553552174924	2.078480772541413	2.189539142751471
17.223744292237445	40000000000.0	2.20521875376302	2.2764484811349184	2.25799787650605	1.5991160425822772
34.44748858447489	40000000000.0	2.339903505223529	2.094131880711554	2.3493098735707125	1.3826355273725583
51.67123287671233	40000000000.0	2.3874728274932355	2.0628261695303953	2.389413568740583	1.2897580507840722
2.1529680365296806	80000000000.0	2.4469340594944122	3.395849131863939	2.545863660733008	3.468251672782957
4.305936073059361	80000000000.0	2.870283074532679	2.8058234951658503	2.998232054422235	2.179119757550456
8.611872146118722	80000000000.0	3.10036608217529	2.1879720348261773	3.1679119705930407	1.6234855502659997
17.223744292237445	80000000000.0	3.2331877524245596	1.909713085525756	3.2672651822580545	1.4106355223285785
34.44748858447489	80000000000.0	3.265140431374367	1.9430324535349304	3.2640786221940887	1.2625715464612244
51.67123287671233	80000000000.0	3.32010480283623	1.954185892575064	3.311633370524771	1.1938267182655484
2.1529680365296806	160000000000.0	3.554165859377963	2.8016170729840844	3.651022065839524	2.1790004160577015
4.305936073059361	160000000000.0	3.7061707324865147	2.1639393224973396	3.635461014908514	1.6104072286714455
8.611872146118722	160000000000.0	3.735377561625531	1.7968336303274397	3.5710155187967243	1.437679376982084
17.223744292237445	160000000000.0	3.848897971284187	1.7121558819361091	3.6200193041151443	1.299209008695863
34.44748858447489	160000000000.0	3.800752034060598	1.8569035108986025	3.5843764162447513	1.1770268023208414
51.67123287671233	160000000000.0	3.831957103972905	1.8869494653341685	3.5561972611055483	1.1039775816644182
